Add a new user,2023-05-16 14:33:37.488
Add a new user,2023-05-16 15:14:46.807
Add a new user,2023-05-16 15:39:08.461
Display all users,2023-05-19 16:42:05.634
Display all users,2023-05-19 16:48:50.719
Add a new deliveryman,2023-05-19 16:50:47.654
Add a new deliveryman,2023-05-19 16:51:30.108
Display all deliverymen,2023-05-19 16:52:01.121
Display all deliverymen,2023-05-19 17:01:37.609
Add a new restaurant,2023-05-19 17:04:25.42
Add a new restaurant,2023-05-19 17:04:57.695
Add a new food,2023-05-19 17:05:56.459
Add a new food,2023-05-19 17:06:56.538
Add a new beverage,2023-05-19 17:07:32.214
Add a new beverage,2023-05-19 17:08:12.319
Add a new order,2023-05-19 17:13:22.874
Display all orders,2023-05-19 17:13:37.578
Display all users,2023-05-22 16:10:42.849
Display all users,2023-05-26 19:00:02.083
Display all deliverymen,2023-05-26 19:00:06.635
Display all restaurants,2023-05-26 19:00:11.973
Display all foods,2023-05-26 19:00:19.694
Display all beverages,2023-05-26 19:00:23.137
Add a new beverage,2023-05-26 19:01:11.164
Display all beverages,2023-05-26 19:01:17.654
Display all foods,2023-05-26 19:01:39.215
Display all beverages,2023-05-26 19:03:58.224
Display all foods,2023-05-26 19:06:17.319
Display all deliverymen,2023-05-26 19:06:39.327
Display all beverages,2023-05-26 22:57:38.952
Display all orders,2023-05-26 22:57:52.44
Display all beverages,2023-05-26 23:01:37.649
Display all beverages,2023-05-26 23:04:28.478
Display all foods,2023-05-26 23:04:57.449
Display all beverages,2023-05-26 23:05:08.687
Display all beverages,2023-05-26 23:06:51.639
Display all orders,2023-05-26 23:08:49.235
Display all foods,2023-05-26 23:09:40.268
Display all foods,2023-05-26 23:10:53.742
Add a new food,2023-05-26 23:12:44.247
Display all foods,2023-05-26 23:12:53.172
Delete a food,2023-05-26 23:15:02.363
Display all foods,2023-05-26 23:15:13.518
Add a new food,2023-05-26 23:15:49.106
Display all foods,2023-05-26 23:15:58.894
Add a new food,2023-05-26 23:16:58.785
Display all foods,2023-05-26 23:17:06.165
Display all foods,2023-05-26 23:20:05.22
Delete an order,2023-05-27 17:51:51.096
Display all orders,2023-05-27 17:52:09.959
Delete an order,2023-05-29 14:56:21.701
Delete an order,2023-05-29 15:12:21.045
Update salary of a deliveryman,2023-05-29 15:12:47.035
Display all deliverymen,2023-05-29 15:12:57.225
Add a new order,2023-05-29 15:13:31.965
Add a new order,2023-05-29 15:14:20.083
Add a new order,2023-05-29 15:14:43.702
Display all orders by deliveryman,2023-05-29 15:15:12.692
Update price of a food,2023-05-29 15:20:23.503
Display all foods,2023-05-29 15:20:33.674
Delete an order,2023-05-29 15:43:33.935
Display all orders,2023-05-29 15:43:46.051
Add a new order,2023-05-29 15:44:11.274
Add a new order,2023-05-29 15:44:25.566
Add a new order,2023-05-29 15:45:01.815
Display all orders,2023-05-29 15:45:09.936
Display all deliverymen,2023-05-29 15:46:04.703
Display all restaurants,2023-05-29 15:46:13.316
Display all foods,2023-05-29 15:46:18.536
Display all beverages,2023-05-29 15:46:31.128
Display all orders by deliveryman,2023-05-29 15:46:44.163
Display all orders by user,2023-05-29 15:46:53.735
Display all orders by restaurant,2023-05-29 15:46:59.409
Display all users,2023-05-29 16:19:31.463
Display all orders by user,2023-05-29 16:20:11.236
Add a new user,2023-05-29 16:23:43.05
Display all users,2023-05-29 16:23:54.801
Delete an user,2023-05-29 16:24:26.751
Display all users,2023-05-29 16:24:32.376
